datetime,GLD,cash,commission,total,returns,equity_curve,drawdown
2022-08-19,16272.000122070312,91531.09880981442,16.900000000000002,107803.09893188473,-0.0011119000135391133,1.0780309893188422,0.04661599633789337
2022-08-22,16163.999938964844,91531.09880981442,16.900000000000002,107695.09874877926,-0.00100182818653205,1.0769509874877876,0.047695998168947984
2022-08-23,16277.000427246094,91531.09880981442,16.900000000000002,107808.09923706051,0.0010492630546246051,1.0780809923706,0.04656599328613553
2022-08-24,16325.0,91531.09880981442,16.900000000000002,107856.09880981442,0.0004452316022041103,1.078560988098139,0.04608599755859655
2022-08-25,16375.0,91531.09880981442,16.900000000000002,107906.09880981442,0.0004635806463588743,1.079060988098139,0.0455859975585966
2022-08-26,16175.999450683594,91531.09880981442,16.900000000000002,107707.09826049801,-0.0018442011296057048,1.077070982604975,0.047576003051760685
2022-08-29,16186.000061035156,91531.09880981442,16.900000000000002,107717.09887084957,9.285005828840731e-05,1.0771709887084906,0.047475996948245
2022-08-30,16050.999450683594,91531.09880981442,16.900000000000002,107582.09826049801,-0.001253288584326162,1.075820982604975,0.04882600305176066
2022-08-31,15927.000427246094,91531.09880981442,16.900000000000002,107458.09923706051,-0.0011525990424284815,1.0745809923706,0.05006599328613559
2022-09-01,0.0,107456.7992370605,18.200000000000003,107456.7992370605,-1.2097738646299483e-05,1.0745679923706,0.05007899328613563
2022-09-02,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-06,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-07,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-08,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-09,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-12,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-13,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-14,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-15,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-16,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-19,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-20,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-21,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-22,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-23,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2022-09-26,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
